,Year,Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB,Postseason
51,2001,Philadelphia Phillies,46,26.9,4.60,162,6219,5497,746,1431,295,29,164,708,153,47,551,1125,.260,.329,.414,.743,93,2276,104,43,67,61,52,1157,False
52,2001,Pittsburgh Pirates,49,27.7,4.06,162,6027,5398,657,1333,256,25,161,618,93,73,467,1106,.247,.313,.393,.706,79,2122,114,67,60,35,51,1058,False
53,2001,San Diego Padres,48,28.9,4.87,162,6278,5482,789,1379,273,26,161,753,129,44,678,1273,.252,.336,.399,.735,97,2187,121,41,29,48,37,1160,False
54,2001,Seattle Mariners,35,31.3,5.72,162,6474,5680,927,1637,310,38,169,881,174,42,614,989,.288,.360,.445,.805,117,2530,112,62,48,70,54,1257,True
55,2001,San Francisco Giants,41,31.4,4.93,162,6408,5612,799,1493,304,40,235,775,57,42,625,1090,.266,.342,.460,.802,112,2582,108,50,67,54,79,1242,False
56,2001,St. Louis Cardinals,40,28.8,5.02,162,6177,5450,814,1469,274,32,199,768,91,35,529,1089,.270,.339,.441,.780,100,2404,125,65,83,50,51,1095,True
57,2001,Tampa Bay Devil Rays,46,28.0,4.15,162,6104,5524,672,1426,311,21,121,645,115,52,456,1116,.258,.320,.388,.707,88,2142,130,54,45,25,24,1104,False
58,2001,Texas Rangers,51,29.8,5.49,162,6388,5685,890,1566,326,23,246,844,97,32,548,1093,.275,.344,.471,.815,109,2676,131,75,25,55,27,1161,False
59,2001,Toronto Blue Jays,41,28.2,4.73,162,6284,5663,767,1489,287,36,195,728,156,55,470,1094,.263,.325,.430,.755,96,2433,111,74,34,43,47,1124,False
60,2002,Anaheim Angels,40,28.3,5.25,162,6327,5678,851,1603,333,32,152,811,117,51,462,805,.282,.341,.433,.773,105,2456,105,74,49,64,42,1165,True
61,2002,Arizona Diamondbacks,42,31.7,5.06,162,6318,5508,819,1471,283,41,165,783,92,46,643,1016,.267,.346,.423,.769,93,2331,130,50,62,53,58,1211,True
62,2002,Atlanta Braves,38,30.6,4.40,161,6224,5495,708,1428,280,25,164,669,76,39,558,1028,.260,.331,.409,.741,93,2250,147,54,67,49,68,1185,True
63,2002,Baltimore Orioles,46,29.2,4.12,162,6096,5491,667,1353,311,27,165,636,110,48,452,993,.246,.309,.403,.712,92,2213,128,64,40,49,25,1037,False
64,2002,Boston Red Sox,39,29.9,5.30,162,6332,5640,859,1560,348,33,177,810,80,28,545,944,.277,.345,.444,.789,106,2505,139,72,22,53,39,1175,False
65,2002,Chicago Cubs,44,30.1,4.36,162,6242,5496,706,1351,259,29,200,676,63,21,585,1269,.246,.321,.413,.734,94,2268,117,44,78,39,52,1173,False
66,2002,Chicago White Sox,35,28.9,5.28,162,6208,5502,856,1475,289,29,217,819,75,31,555,952,.268,.338,.449,.787,107,2473,111,49,48,53,17,1085,False
67,2002,Cincinnati Reds,43,27.8,4.38,162,6254,5470,709,1386,297,21,169,678,116,52,583,1188,.253,.330,.408,.738,91,2232,119,66,95,40,66,1169,False
68,2002,Cleveland Indians,59,30.4,4.56,162,6099,5423,739,1349,255,26,192,706,52,37,542,1000,.249,.321,.412,.733,96,2232,149,56,39,39,35,1066,False
69,2002,Colorado Rockies,43,28.6,4.80,162,6165,5512,778,1508,283,41,152,726,103,53,497,1043,.274,.337,.423,.760,88,2329,133,56,49,50,40,1094,False
70,2002,Detroit Tigers,57,28.1,3.57,161,5920,5406,575,1340,265,37,124,546,65,44,363,1035,.248,.300,.379,.679,86,2051,125,64,30,57,22,1029,False
71,2002,Florida Marlins,41,28.4,4.31,162,6263,5496,699,1433,280,32,146,653,177,73,595,1130,.261,.337,.403,.740,97,2215,129,61,59,49,69,1190,False
72,2002,Houston Astros,41,30.1,4.62,162,6252,5503,749,1441,291,32,167,719,71,27,589,1120,.262,.338,.417,.755,93,2297,144,59,64,37,57,1177,False
